=== MEETING ATTENDEES ===
Total Attendees: 2
Meeting Start: 2026. 6. 26. 오후 1:01:22

Attendee List:
-  
- Gichan Lee

=== TRANSCRIPT ===
[오후 1:01:24]  : 라이브캡션.
[오후 1:50:56]  : 그래서 코딩을 하게 되면 젊은 애들 시켜갖고 코딩을 다 하는 거고, 그래서 일단은 요것도 이제 만들어 놓은 게 젊은 애들 시켜 코딩하는 거라.
[오후 1:50:58]  : 아.
[오후 1:51:02]  : 나이가 드물 거리가 안 해 그때는 프로그램 매니저가 되는구나.
[오후 1:51:04]  : 그때는 그냥 가치가 떨어지는 거라고 언제든지 짜리를 수거하고.
[오후 1:51:07]  : 그래서 어떻게 재임조합니까?
[오후 1:51:15]  : 프리페케션 시니어 맞습니다. 그 사람 편리하느라 경험이 없이는 그건 절대로 안 되는 거라고.
[오후 1:51:19]  : 그래서 하게 되면 프로그램 매니저 뽑아서 하는 게 아니고 그걸 포커스 하는 거라고 거기 이?
[오후 1:51:24]  : 뭐 하든 뭐든 뭐더라구 니가 안 짜지는 못하구.
[오후 1:51:29]  : 프로그램 매니저는 근데 프로그램 매니저가 왜 필요가 없는지 잘 모르겠습니다.
[오후 1:51:38]  : 아까 그 고객이 원하는 거 내가 누굴 만나야 되니까.
[오후 1:51:39]  : 그거 그거는 아, 다음에 다음 주에 다음에 얘기해야 되고.
[오후 1:51:47]  : 예 다음 거 그니까 예 생활의 스케쥴이야. 목요일 아 목요일에 금요일 금요일 11주 금요일.
[오후 1:51:53]  : 다음 주 금요일은 내가 디트로이트 가져갈까? 아까 금요일 11 시라고 하셨죠?
[오후 1:51:56]  : 매주마다 금요일 11 시야?
[오후 1:52:01]  : 예 어 좋습니다. 옛날에도 그랬으니까.
[오후 1:52:03] Gichan Lee: 여기에도 11시 금요일로 하고.
[오후 1:52:05]  : 내가 디트로이트 갔다 와야 돼?
[오후 1:52:12]  : 예 아, 다음 주 아니면 다음 주 다음 주 life for life force 혹은 토요일입니다.
[오후 1:52:26]  : 내가 detoks 알겠습니다. 그러니까 한번 넘길게요. 7월 삼일은이고 7월 3일 어 말고 그 그게 오는 그거 뭔데 7월 6일.
[오후 1:52:31]  : 뭔데죠 예 7월 6일 예 뭔데 그때?
[오후 1:52:33]  : 네가 알아야 돼 니가 어디 있는지 모르니까.
[오후 1:52:38]  : 저도 잘 모르는데 그렇지 예.
[오후 1:52:40]  : 그걸 알아가지고 그 주에 알아가지고 말씀을 드리겠습니다.
[오후 1:52:42]  : 링크드인으로.
[오후 1:52:47]  : 한 11 시쯤에 아 이메일을 보내 이메일 어디 있으니까.
[오후 1:52:50]  : 그 이메일로 보내 예 알겠습니다.
[오후 1:52:53]  : 그 주에 왜냐면 메이크업해야 되니까. 그리고 알겠습니다.
[오후 1:52:59]  : 금요일 날은 그 주 금요일 안에 하면 되니까 그러니까 월요일 하고 금요일 알겠습니다.
[오후 1:53:02]  : 근데 니가 니가?
[오후 1:53:10]  : 금요일 어디 있는지 몰라? 금요일은 창설 여기 있으니까.
[오후 1:53:14]  : 그 먼데 월요일이나 그때는 어제.
[오후 1:53:15]  : 돌아가면서.
[오후 1:53:19]  : 맞아요?
[오후 1:53:25]  : 그래서 제가 아니면 월요일 말고 다른 요일에 혹시 제가 지금 제이님 오피스에 가는 건 어떨까요 제가?
[오후 1:53:25] Gichan Lee: 제2.
[오후 1:53:30]  : 유죄인이 오피스 어 지금 네?
[오후 1:53:32]  : 그거 다 하는 것은 그거는 캘리포니아에서.
[오후 1:53:36]  : 여기 없어 그러면 평소에는 그 CLL 에 어디에 계신가요?
[오후 1:53:39]  : 씨 아들은 패드로웨이라고 해서.
[오후 1:53:44]  : 네, 아니 재인 님으로 평소에는 어디에 계신가요, 제이님 계시니까.
[오후 1:53:48]  : 아.
[오후 1:53:51]  : 그 뭐라 어디 있어요?
[오후 1:53:51]  : 아 거기서 그러면 그러면 일을 어디서 하시나요?
[오후 1:53:56]  : 저는 나는 그냥 집에 사는 거지 어 아.
[오후 1:54:00]  : 오 오 오피스는 오.
[오후 1:54:05]  : 어.
[오후 1:54:08]  : 왜 이렇게 멀리 있나요? 캘리포니아 미국 국방부, 그러니까 제가.
[오후 1:54:12]  : 아, 그러면.
[오후 1:54:25]  : 어 알겠습니다. 그러면 제가 제가 시간이 여기 밖에 안 나갔을 때 제가 미리 이렇게 말씀을 드려서 이때 오실 수 있을까요?
[오후 1:54:27]  : 이렇게 여쭤볼까요? 그 그 딱 그러니까 그 주 있잖아요.
[오후 1:54:30]  : 예 4시간.
[오후 1:54:34]  : 내가 아닌데 뭐 버스 타고?
[오후 1:54:41]  : 예 그니까 그거 아닐 때 여기 그거 아닐 때 여기 있을 때 예 시간을 11 시로 다. 아 오전 11시.
[오후 1:54:49]  : 예 특별한 물이 이제 없으면요 할 테니까 예 알겠습니다.
[오후 1:54:50]  : 어.
[오후 1:54:56]  : 근데 집에서만 일하고 오피스는 그러면 오피스도 가끔 가시나 봐요.
[오후 1:54:56] Gichan Lee: 유죄인이 오피스 어 지금 네?
[오후 1:55:02]  : 캘리포니아에 있는 오피스텔이나 아 그게 그거 어 네 시티오가 그 사람이다 하고.
[오후 1:55:06]  : 그 사람이 미국 국밥 뭐?
[오후 1:55:14]  : 나 말했다 봐 아우 웹사이트 보고 알겠습니다. 그리고 나중에 링크드인 보고 가겠습니다.
[오후 1:55:16]  : 하고.
[오후 1:55:19]  : 그때 연락 예 알겠습니다.
[오후 1:55:28]  : 이메일로 또 드리고 링크드인도 그 메시지 드려도 이메일, 아 이메일 주로 일면으로 보는 예 이메일을 보내가지고 그 주에 월요일이 되는지 안 되는지 보고 예 알겠습니다.
[오후 1:55:30]  : 뭐?
[오후 1:55:34]  : 금요일에는 만나니까 그 맞습니다.
[오후 1:55:36]  : 예, 그래서 월요일이 좋을 것 같은데 제가 나중에 보고 말씀드리겠습니다.
[오후 1:55:36]  : 스케줄 보고.
[오후 1:55:38]  : 예 예, 알겠습니다.
[오후 1:55:41]  : 될 것 같아 예 예 됩니다.
[오후 1:55:47]  : 어 예 열심히 해라.
[오후 1:55:54]  : 열심히 해라 지금 지금 하는 일 맞죠? 내 생각에는 텍스트에서 팔아먹어서 그때도 팔아먹어서 그때 보면 제1 좋으실 텐데 지금은.
[오후 1:55:58]  : 한 단계가 없을 것 같아서?
[오후 1:56:04]  : 그때 대해서 괜찮게 그냥 좀 보이고 팔아줘 아이, 괜찮습니다.
[오후 1:56:09]  : 괜찮은 게 아니고 그런 거 몇 번 하게 되면 그다음은.
[오후 1:56:40]  : 언니가 겨울에 올렸어.
[오후 1:57:16]  : 그.
[오후 1:57:27]  : 좌우에 설명이.
[오후 1:57:32]  : 어
